11:21:46 INFO  : Registering command handlers for SDK TCF services
11:21:48 INFO  : Launching XSCT server: xsct -n -interactive /home/nandykong/zynq_iic/zynq_iic.sdk/temp_xsdb_launch_script.tcl
11:21:49 INFO  : XSCT server has started successfully.
11:21:49 INFO  : Successfully done setting XSCT server connection channel  
11:21:49 INFO  : Successfully done setting SDK workspace  
11:21:49 INFO  : Processing command line option -hwspec /home/nandykong/zynq_iic/zynq_iic.sdk/zynq_iic_wrapper.hdf.
11:22:32 INFO  : Saving repository preferences.
11:22:32 INFO  : Reading in cores from local repositories: 
		 /home/vivado/vivado201604/SDK/device-tree-xlnx-xilinx-v2016.4
11:22:32 INFO  : Cleaning BSP projects in the workspace.
12:06:52 INFO  : Invoking Bootgen: bootgen -image output.bif -arch zynq -o /home/nandykong/zynq_iic/zynq_iic.sdk/BOOT.bin
12:06:52 INFO  : Creating new bif file /home/nandykong/zynq_iic/zynq_iic.sdk/output.bif
12:06:53 INFO  : Bootgen command execution is done.
